Testing 533 payers...
Start: 2026-06-03T17:35:48.480528+00:00
================================================================================
  [169/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 14ms
  [170/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 9ms
  [171/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 13ms
  [172/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 8ms
  [173/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 16ms
  [174/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 13ms
  [175/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 10ms
  [176/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 12ms
  [177/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 16ms
  [178/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 13ms
  [179/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 10ms
  [180/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 17ms
  [181/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 7ms
  [182/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 15ms
  [183/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 15ms
  [184/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 12ms
  [185/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 10ms
  [186/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 10ms
  [187/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 12ms
  [188/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 8ms
  [189/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 13ms
  [190/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 11ms
  [191/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 14ms
  [192/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 15ms
  [193/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 25ms
  [194/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 16ms
  [195/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 9ms
  [196/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 9ms
  [197/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 11ms
  [198/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 17ms
  [199/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 16ms
  [200/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 17ms
  [201/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 13ms
  [202/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 15ms
  [203/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 16ms
  [204/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 10ms
  [205/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 12ms
  [206/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 8ms
  [207/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 21ms
  [208/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 11ms
  [209/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 14ms
  [210/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 13ms
  [211/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 12ms
  [212/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 14ms
  [213/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 11ms
  [214/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 9ms
  [215/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 15ms
  [216/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 44ms
  [217/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 13ms
  [218/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 11ms
  [219/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 18ms
  [220/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 11ms
  [221/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 16ms
  [222/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 7ms
  [223/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 17ms
  [224/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 18ms
  [225/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 9ms
  [226/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 17ms
  [227/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 14ms
  [228/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 14ms
  [229/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 15ms
  [230/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 15ms
  [231/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 7ms
  [232/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 15ms
  [233/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 12ms
  [234/533] Aetna                                         ... ❌ not_found | HTTP 404 | 284ms
  [235/533] Aetna                                         ... ❌ not_found | HTTP 404 | 96ms
  [236/533] Aetna                                         ... ❌ not_found | HTTP 404 | 158ms
  [237/533] Aetna                                         ... ❌ not_found | HTTP 404 | 170ms
  [238/533] Aetna                                         ... ❌ not_found | HTTP 404 | 93ms
  [239/533] Aetna                                         ... ❌ not_found | HTTP 404 | 106ms
  [240/533] Aetna                                         ... ❌ not_found | HTTP 404 | 175ms
  [241/533] Aetna                                         ... ❌ not_found | HTTP 404 | 131ms
  [242/533] Aetna                                         ... ❌ not_found | HTTP 404 | 120ms
  [243/533] Aetna                                         ... ❌ not_found | HTTP 404 | 98ms
  [244/533] Aetna                                         ... ❌ not_found | HTTP 404 | 76ms
  [245/533] Aetna                                         ... ❌ not_found | HTTP 404 | 125ms
  [246/533] Aetna                                         ... ❌ not_found | HTTP 404 | 102ms
  [247/533] Aetna                                         ... ❌ not_found | HTTP 404 | 94ms
  [248/533] Aetna                                         ... ❌ not_found | HTTP 404 | 91ms
  [249/533] Aetna                                         ... ❌ not_found | HTTP 404 | 86ms
  [250/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 230ms
  [251/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 254ms
  [252/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 129ms
  [253/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 150ms
  [254/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 134ms
  [255/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 100ms
  [256/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 126ms
  [257/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 207ms
  [258/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 110ms
  [259/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 124ms
  [260/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 113ms
  [261/533] Humana Inc.                                   ... ⚠️ client_error | HTTP 400 | 115ms
  [262/533] Cigna                                         ... ✅ valid | HTTP 200 | 274ms
  [263/533] Aetna R4                                      ... ✅ valid | HTTP 200 | 7170ms
  [264/533] State of Delaware                             ... 🚫 unreachable | HTTPSConnectionPool(host='api.delawarefh | 35ms
  [266/533] State of Iowa                                 ... ⚠️ client_error | HTTP 400 | 2462ms
  [267/533] State of Kansas                               ... 🚫 unreachable | HTTPSConnectionPool(host='api.kansasfhir | 17ms
  [268/533] State of Nebraska                             ... ✅ valid | HTTP 200 | 3742ms
  [269/533] State of New Hampshire                        ... ⚠️ client_error | HTTP 400 | 144ms
  [270/533] State of New Jersey                           ... ✅ valid | HTTP 200 | 1727ms
  [271/533] State of Rhode Island                         ... 🚫 unreachable | HTTPSConnectionPool(host='api.rhodeislan | 17ms
  [274/533] State of Wyoming                              ... ✅ valid | HTTP 200 | 117ms
  [277/533] Blue Cross Blue Shield of Florida (Florida Bl ... 🔒 auth_required | HTTP 403 | 311ms
  [278/533] Clover Health                                 ... 🔒 auth_required | HTTP 403 | 287ms
  [279/533] Bright Health                                 ... 🔒 auth_required | HTTP 403 | 283ms
  [280/533] Oscar Health                                  ... 🔒 auth_required | HTTP 403 | 275ms
  [281/533] Wellpoint (fka Amerigroup)                    ... 🔒 auth_required | HTTP 403 | 286ms
  [282/533] Prominence Health Plan                        ... 🔒 auth_required | HTTP 403 | 282ms
  [283/533] Zing Health                                   ... 🔒 auth_required | HTTP 403 | 263ms
  [284/533] Clever Care Health Plan                       ... 🔒 auth_required | HTTP 403 | 277ms
  [285/533] Alignment Healthcare (AHM)                    ... 🔒 auth_required | HTTP 403 | 294ms
  [286/533] Devoted Health Plan                           ... 🔒 auth_required | HTTP 403 | 280ms
  [287/533] Quartz Health Solutions                       ... 🔒 auth_required | HTTP 403 | 287ms
  [288/533] Sanford Health Plan                           ... 🔒 auth_required | HTTP 403 | 287ms
  [289/533] Medical Mutual of Ohio                        ... 🔒 auth_required | HTTP 403 | 278ms
  [290/533] Regence BlueCross BlueShield                  ... 🔒 auth_required | HTTP 403 | 283ms
  [291/533] Premera Blue Cross                            ... 🔒 auth_required | HTTP 403 | 275ms
  [292/533] AvMed                                         ... 🔒 auth_required | HTTP 403 | 286ms
  [293/533] Simply Healthcare (Anthem subsidiary)         ... 🔒 auth_required | HTTP 403 | 278ms
  [294/533] CareMore Health (Elevance)                    ... 🔒 auth_required | HTTP 403 | 289ms
  [295/533] Optimum Healthcare                            ... 🔒 auth_required | HTTP 403 | 296ms
  [296/533] WellMed (UHC subsidiary)                      ... 🔒 auth_required | HTTP 403 | 286ms
  [297/533] Physicians Health Plan                        ... 🔒 auth_required | HTTP 403 | 272ms
  [298/533] Tufts Health Plan (Point32Health)             ... 🔒 auth_required | HTTP 403 | 381ms
  [299/533] Harvard Pilgrim Health Care (Point32Health)   ... 🔒 auth_required | HTTP 403 | 283ms
  [300/533] Martin's Point Health Care                    ... 🔒 auth_required | HTTP 403 | 272ms
  [301/533] Group Health Cooperative (Kaiser NW)          ... 🔒 auth_required | HTTP 403 | 290ms
  [302/533] Aspire Health Plan                            ... 🔒 auth_required | HTTP 403 | 274ms
  [303/533] Lumeris/Essence Healthcare                    ... 🔒 auth_required | HTTP 403 | 282ms
